Place.id,strata_id,Location.name.in.English,Location.name.in.Arabic,Latitude,Longitude,COD_Subdistrict,district_mcna,governorate_mcna,SumDist,proba,num_households,num_surveys,pop_group,pop_group_dist
29564,Khanaqin,Al Taleaa Qtr ( sector 2 ),?? ??????? ( ???? 2 ),34.27881447,45.16276296,Jalawla,khanaqin,diyala,16316,0.023167443,378,6,returnee,returnee_khanaqin
31764,Khanaqin,Al Wehdaa Qtr Sector 3,?? ?????? ???? 3,34.266667,45.16324737,Jalawla,khanaqin,diyala,16316,0.016854621,275,6,returnee,returnee_khanaqin
13500,Makhmour,Bndiyan,??????,35.77626707,43.5870458,Markaz Makhmour,makhmour,erbil,7725,0.020711974,160,6,returnee,returnee_makhmour
13352,Makhmour,Gwer,????,36.043816,43.4990613,Gwyer,makhmour,erbil,7725,0.28815534,2226,24,returnee,returnee_makhmour
13675,Makhmour,Sherwany,???????,35.77564291,43.58422753,Markaz Makhmour,makhmour,erbil,7725,0.084142395,650,18,returnee,returnee_makhmour
12461,Makhmour,Jarallah,??? ????,35.8325667,43.4369287,Markaz Makhmour,makhmour,erbil,7725,0.015145631,117,12,returnee,returnee_makhmour
13674,Makhmour,Shahidan,??????,35.78075589,43.585956,Markaz Makhmour,makhmour,erbil,7725,0.062135922,480,6,returnee,returnee_makhmour
22976,Makhmour,Qalat,????,35.77731268,43.57280953,Markaz Makhmour,makhmour,erbil,7725,0.034951456,270,6,returnee,returnee_makhmour
169,Al-Falluja,Al Shurta,?? ??????,33.36389707,43.79818309,Markaz Al-Falluja,al.falluja,al.anbar,94177,0.03117534,2936,12,returnee,returnee_al.falluja
13516,Makhmour,Qabr Alsyd,??? ?????,35.568,43.6444,Qaraj,makhmour,erbil,7725,0.008414239,65,6,returnee,returnee_makhmour
33846,Makhmour,Darmenawa,????????,36.0040269,43.5509151,Gwyer,makhmour,erbil,7725,0.005307443,41,6,returnee,returnee_makhmour
12512,Makhmour,Gardahara,???????,35.5761,43.552,Qaraj,makhmour,erbil,7725,0.008414239,65,24,returnee,returnee_makhmour
13501,Makhmour,Kurdistan,???????? ,35.76717577,43.5762378,Markaz Makhmour,makhmour,erbil,7725,0.038834951,300,12,returnee,returnee_makhmour
15006,Al-Hawiga,Al-Abasiyah Village,???? ????????,35.33141,43.71230831,Markaz Al-Hawiga,al.hawiga,kirkuk,25562,0.003168766,81,6,returnee,returnee_al.hawiga
15594,Al-Hawiga,Al Askary,?? ???????,35.32528,43.76544898,Markaz Al-Hawiga,al.hawiga,kirkuk,25562,0.032861278,840,12,returnee,returnee_al.hawiga
21321,Al-Falluja,Al Daffar,??????,33.260627,43.85072524,Markaz Al-Falluja,al.falluja,al.anbar,94177,0.010618304,1000,12,returnee,returnee_al.falluja
33287,Al-Hawiga,Tall AL-Dhahab ( As-Sufla ) village,???? ?? ????? ( ???? ),35.11281,43.51535725,Al-Abbasi,al.hawiga,kirkuk,25562,0.008528284,218,12,returnee,returnee_al.hawiga
15275,Al-Hawiga,Al-Abassy center,???? ???????,35.27574041,43.59564652,Al-Abbasi,al.hawiga,kirkuk,25562,0.059189422,1513,6,returnee,returnee_al.hawiga
15250,Al-Hawiga,Al-Namalah village,???? ????,35.3083,43.59333063,Al-Abbasi,al.hawiga,kirkuk,25562,0.012479462,319,6,returnee,returnee_al.hawiga
33780,Al-Falluja,Al-Bijara,???????,33.42847,43.78972,Al-Garma,al.falluja,al.anbar,94177,0.001168013,110,6,returnee,returnee_al.falluja
15191,Al-Hawiga,Al-zab,???? ????? ?????,35.26433,43.44756129,Al-Zab,al.hawiga,kirkuk,25562,0.059424145,1519,6,returnee,returnee_al.hawiga
33576,Al-Hawiga,Al-Farouk Village,???? ???????,35.31889,43.79555173,Markaz Al-Hawiga,al.hawiga,kirkuk,25562,0.003520851,90,6,returnee,returnee_al.hawiga
15242,Al-Hawiga,Al-Jubooria Village,???? ????????,35.30301,43.70182472,Markaz Al-Hawiga,al.hawiga,kirkuk,25562,0.009271575,237,6,returnee,returnee_al.hawiga
24362,Al-Hawiga,Shamitt Village,???? ????,35.2977,43.53004521,Al-Zab,al.hawiga,kirkuk,25562,0.061028089,1560,6,returnee,returnee_al.hawiga
14555,Beygee,Shajara village,???? ??????,35.21525,43.41271795,Makkhoul,beygee,salah.al.din,22815,0.028972167,661,6,returnee,returnee_beygee
33291,Al-Hawiga,Al-Salhaiyah village,???? ????????,35.370423,43.8904098,Markaz Al-Hawiga,al.hawiga,kirkuk,25562,0.003755575,96,6,returnee,returnee_al.hawiga
15264,Al-Hawiga,Bakara Village,???? ???????,35.32208,43.79404764,Markaz Al-Hawiga,al.hawiga,kirkuk,25562,0.011736171,300,6,returnee,returnee_al.hawiga
287,Al-Kaim,Hay Al-Makarim,?? ???????,34.38437722,41.02395861,Al-Karabla,al.kaim,al.anbar,15084,0.019557147,295,6,returnee,returnee_al.kaim
15416,Al-Hawiga,Hilwa middle,???? ???? ????,35.472569,43.76065514,Al-Zab,al.hawiga,kirkuk,25562,0.02675847,684,6,returnee,returnee_al.hawiga
15368,Al-Hawiga,Al-Mansuriyah ( Al-Abazz) village,???? ??????? ( ??? ),35.402174,43.88121962,Markaz Al-Hawiga,al.hawiga,kirkuk,25562,0.004225022,108,6,returnee,returnee_al.hawiga
176,Al-Falluja,Al-andalus,?? ???????,33.34833448,43.76295925,Markaz Al-Falluja,al.falluja,al.anbar,94177,0.029402083,2769,6,returnee,returnee_al.falluja
15271,Beygee,Sobieh village,???? ????,35.3099,43.36912437,Makkhoul,beygee,salah.al.din,22815,0.01884725,430,6,returnee,returnee_beygee
15614,Al-Hawiga,8 Shabahit,?? 8 ????,35.32708,43.78052,Markaz Al-Hawiga,al.hawiga,kirkuk,25562,0.006415773,164,6,returnee,returnee_al.hawiga
148,Al-Falluja,Al-waheda,?? ??????,33.36026624,43.7779121,Markaz Al-Falluja,al.falluja,al.anbar,94177,0.023646963,2227,6,returnee,returnee_al.falluja
15674,Dibis,Hay Al-Shuhadaa,?? ???????,35.6705349,44.06921792,Markaz Dibis,dibis,kirkuk,1206,0.012437811,15,6,returnee,returnee_dibis
14375,Dibis,Altun Kupri Center,???? ????? ????? ?????,35.75626625,44.13871317,Altun Qupri,dibis,kirkuk,1206,0.718076285,866,150,returnee,returnee_dibis
33384,Dibis,Hay Diyarbakir,?? ???????,35.66829,44.08388662,Markaz Dibis,dibis,kirkuk,1206,0.020729685,25,6,returnee,returnee_dibis
15463,Dibis,Qutan village,???? ?????,35.60376,44.23055028,Markaz Dibis,dibis,kirkuk,1206,0.066334992,80,12,returnee,returnee_dibis
33383,Dibis,Hay Kurdistan,?? ????????,35.6753,44.06739441,Markaz Dibis,dibis,kirkuk,1206,0.033167496,40,6,returnee,returnee_dibis
14407,Dibis,Qashqaiyah village,???? ???????,35.60065,44.1969448,Markaz Dibis,dibis,kirkuk,1206,0.111940299,135,12,returnee,returnee_dibis
29631,Daquq,Arab Koy village,???? ??? ???,35.066888,44.38804473,Markaz Daquq,daquq,kirkuk,975,0.076923077,75,6,returnee,returnee_daquq
15139,Daquq,Khaled bin Waleed village,???? ???? ?? ??????,35.20333,44.36306564,Markaz Daquq,daquq,kirkuk,975,0.097435897,95,12,returnee,returnee_daquq
14864,Daquq,Albu Mahammad,???? ???? ????,35.05,44.36982716,Markaz Daquq,daquq,kirkuk,975,0.025641026,25,6,returnee,returnee_daquq
14788,Daquq,Wahda village,???? ??????,35.210085,44.3801614,Markaz Daquq,daquq,kirkuk,975,0.092307692,90,24,returnee,returnee_daquq
125,Al-Falluja,Hay Al Dhubbat,?? ??????,33.35742,43.79284842,Markaz Al-Falluja,al.falluja,al.anbar,94177,0.038884229,3662,6,returnee,returnee_al.falluja
21814,Daquq,Saad Bin Waqqas village,???? ??? ?? ??????,35.20031,44.3583072,Markaz Daquq,daquq,kirkuk,975,0.215384615,210,12,returnee,returnee_daquq
31725,Daquq,Hay Gulan,?? ?????,35.14432821,44.4556447,Markaz Daquq,daquq,kirkuk,975,0.092307692,90,12,returnee,returnee_daquq
33477,Daquq,Hay Runaki / Daquq,?? ?????? \ ?????,35.14833029,44.45463889,Markaz Daquq,daquq,kirkuk,975,0.082051282,80,12,returnee,returnee_daquq
14786,Daquq,Fareeq Awa,?? ???? ???,35.13463604,44.43721897,Markaz Daquq,daquq,kirkuk,975,0.123076923,120,18,returnee,returnee_daquq
14763,Kirkuk,Rahim Awa,???? ???,35.4974936,44.39561969,Markaz Kirkuk,kirkuk,kirkuk,27113,0.202854719,5500,6,returnee,returnee_kirkuk
33112,Daquq,Al-Rashad center,???? ??????,35.13521,44.08200978,Al-Rashad,daquq,kirkuk,975,0.041025641,40,6,returnee,returnee_daquq
28410,Kirkuk,Sekanyan,????????,35.55411939,44.36025754,Markaz Kirkuk,kirkuk,kirkuk,27113,0.001844134,50,6,returnee,returnee_kirkuk
31726,Kirkuk,Al-Qadisssiya(Rabareen) first,?? ?????????-??????-(???????? ?????) ???,35.41471699,44.41914669,Markaz Kirkuk,kirkuk,kirkuk,27113,0.036882676,1000,6,returnee,returnee_kirkuk
15442,Kirkuk,Shorawo,?????,35.52501522,44.38484303,Markaz Kirkuk,kirkuk,kirkuk,27113,0.055324014,1500,6,returnee,returnee_kirkuk
14567,Daquq,Al-Dookmat Al-Kabira village,???? ???????? ???????,35.09175,44.0534674,Al-Rashad,daquq,kirkuk,975,0.075897436,74,6,returnee,returnee_daquq
299,Al-Falluja,Al-Julan,???????,33.36393445,43.76757768,Markaz Al-Falluja,al.falluja,al.anbar,94177,0.030134746,2838,6,returnee,returnee_al.falluja
21702,Kirkuk,Hay Azadi,?? ?????,35.48144527,44.41860388,Markaz Kirkuk,kirkuk,kirkuk,27113,0.147530705,4000,24,returnee,returnee_kirkuk
31727,Kirkuk,Al-Qadisssiya(Rabareen) seconad,?? ?????????-??????-(???????? ?????) ????,35.42690647,44.42125977,Markaz Kirkuk,kirkuk,kirkuk,27113,0.040570944,1100,6,returnee,returnee_kirkuk
14530,Kirkuk,Panja Ali,???? ???,35.43692001,44.42763139,Markaz Kirkuk,kirkuk,kirkuk,27113,0.164127909,4450,12,returnee,returnee_kirkuk
14984,Kirkuk,Al Taakhi,?? ??????,35.4223312,44.3524948,Markaz Kirkuk,kirkuk,kirkuk,27113,0.005532401,150,6,returnee,returnee_kirkuk
22289,Kirkuk,Al Faylaq-Mahala 5,?? ??????-5,35.47617352,44.36205712,Markaz Kirkuk,kirkuk,kirkuk,27113,0.041493011,1125,6,returnee,returnee_kirkuk
33467,Al-Falluja,Hay Al Mansour Tawzi Al Jadeed,?? ??????? / ??????? ??????,33.32431,43.7962406,Markaz Al-Falluja,al.falluja,al.anbar,94177,0.006052433,570,6,returnee,returnee_al.falluja
24084,Kirkuk,Al Tadamon(Hawkari),?? ???????-???????-,35.41012372,44.38730494,Markaz Kirkuk,kirkuk,kirkuk,27113,0.009220669,250,6,returnee,returnee_kirkuk
25556,Kirkuk,Darwaza,??????,35.47339866,44.41625482,Markaz Kirkuk,kirkuk,kirkuk,27113,0.110648029,3000,18,returnee,returnee_kirkuk
25708,Kirkuk,Al Hendia,???? ???????,35.45524257,44.17384937,Al-Multaka,kirkuk,kirkuk,27113,0.003135027,85,6,returnee,returnee_kirkuk
324,Al-Falluja,Albu Aifan,?????????,33.30279302,43.75301646,Markaz Al-Falluja,al.falluja,al.anbar,94177,0.009248543,871,6,returnee,returnee_al.falluja
34010,Al-Baaj,Al-Dubaat,?? ??????,36.042967,41.711898,Markaz Al-Baaj,al.baaj,ninewa,6162,0.03034729,187,6,returnee,returnee_al.baaj
34014,Al-Baaj,Hateen,?? ????,36.04616,41.722867,Markaz Al-Baaj,al.baaj,ninewa,6162,0.0561506,346,6,returnee,returnee_al.baaj
33431,Al-Baaj,Al-Rashediyah,????????,36.125506,41.572871,Al-Qahtanya,al.baaj,ninewa,6162,0.006815969,42,6,returnee,returnee_al.baaj
33854,Al-Baaj,Maisaloun,???? ??????,36.272,41.367502,Al-Qahtanya,al.baaj,ninewa,6162,0.044628367,275,6,returnee,returnee_al.baaj
34082,Al-Baaj,Al-ayaine,???????,36.170522,41.345382,Markaz Al-Baaj,al.baaj,ninewa,6162,0.003245699,20,6,returnee,returnee_al.baaj
33856,Al-Baaj,Sheekht Al-Majfal Village,???? ???? ?????? ,36.083477,41.544336,Markaz Al-Baaj,al.baaj,ninewa,6162,0.004057124,25,6,returnee,returnee_al.baaj
34027,Al-Baaj,mushirfa Al kuffa,?????? ??????,36.040514,41.788988,Markaz Al-Baaj,al.baaj,ninewa,6162,0.009412528,58,6,returnee,returnee_al.baaj
34008,Al-Baaj,Al-Risalah,?? ???????,36.044509,41.714508,Markaz Al-Baaj,al.baaj,ninewa,6162,0.057935735,357,6,returnee,returnee_al.baaj
34009,Al-Baaj,Al Intisar,?? ????????,36.049594,41.71278,Markaz Al-Baaj,al.baaj,ninewa,6162,0.064913989,400,6,returnee,returnee_al.baaj
33915,Al-Baaj,Thry algarah,??? ??????,35.91231,42.185485,Markaz Al-Baaj,al.baaj,ninewa,6162,0.008925673,55,6,returnee,returnee_al.baaj
22134,Al-Falluja,Albu Khalifa,????????? ,33.43254355,43.94894634,Al-Garma,al.falluja,al.anbar,94177,0.022521422,2121,6,returnee,returnee_al.falluja
